architecture,epochs_run,epoch_retained,epoch_argmax_internal_val_acc,retained_matches_internal_rule,epoch_argmax_ext1_auc,epoch_argmax_ext2_auc,retained_is_argmax_ext1,retained_is_argmax_ext2,ext1_auc_at_retained,ext1_auc_best_available,ext1_auc_forgone,ext2_auc_at_retained,ext2_auc_best_available,ext2_auc_forgone
densenet121,15,7,7,True,7,6,True,False,0.9046,0.9046,0.0,0.8894,0.9104,0.021
densenet201,15,7,7,True,7,12,True,False,0.8934,0.8934,0.0,0.8447,0.8806,0.0359
efficientnet_b0,12,4,4,True,9,10,False,False,0.925,0.9323,0.0073,0.8226,0.8579,0.0353
efficientnet_b1,21,13,13,True,5,13,False,True,0.8464,0.8896,0.0432,0.8839,0.8839,0.0
efficientnet_b2,18,10,10,True,1,12,False,False,0.832,0.8755,0.0435,0.8308,0.906,0.0752
efficientnet_b3,15,7,7,True,2,2,False,False,0.8664,0.9144,0.048,0.7308,0.8027,0.0719
efficientnet_b4,12,4,4,True,2,4,False,True,0.8797,0.8808,0.0011,0.8021,0.8021,0.0
efficientnet_b5,18,10,10,True,17,18,False,False,0.8619,0.8832,0.0213,0.7634,0.7805,0.0171
inception_v3,9,1,1,True,1,1,True,True,0.9439,0.9439,0.0,0.8507,0.8507,0.0
resnet101,15,7,7,True,15,15,False,False,0.859,0.8962,0.0372,0.8203,0.8823,0.062
resnet18,12,4,4,True,8,8,False,False,0.8219,0.8945,0.0726,0.8441,0.8729,0.0288
resnet50,14,6,6,True,5,5,False,False,0.8706,0.9085,0.0379,0.827,0.885,0.058
vgg19,15,7,7,True,6,13,False,False,0.6238,0.8945,0.2707,0.5033,0.7839,0.2806
