arch,mask_variant,split,n,n_malignant,n_benign,expected_n,expected_malignant,expected_benign,n_matches_expected,class_counts_match_expected,duplicate_case_ids,max_abs_prob_sum_deviation,prevalence_malignant
densenet121,gt,train,600,352,248,600,,,True,True,0,0.0,0.5866666666666667
densenet121,gt,internal_val,257,155,102,257,155.0,102.0,True,True,0,0.0,0.603112840466926
densenet121,gt,external_test1,108,62,46,108,62.0,46.0,True,True,0,0.0,0.5740740740740741
densenet121,gt,external_test2,94,67,27,94,67.0,27.0,True,True,0,0.0,0.7127659574468085
densenet121,model,train,600,352,248,600,,,True,True,0,0.0,0.5866666666666667
densenet121,model,internal_val,257,155,102,257,155.0,102.0,True,True,0,0.0,0.603112840466926
densenet121,model,external_test1,108,62,46,108,62.0,46.0,True,True,0,0.0,0.5740740740740741
densenet121,model,external_test2,94,67,27,94,67.0,27.0,True,True,0,0.0,0.7127659574468085
densenet201,gt,train,600,352,248,600,,,True,True,0,0.0,0.5866666666666667
densenet201,gt,internal_val,257,155,102,257,155.0,102.0,True,True,0,0.0,0.603112840466926
densenet201,gt,external_test1,108,62,46,108,62.0,46.0,True,True,0,0.0,0.5740740740740741
densenet201,gt,external_test2,94,67,27,94,67.0,27.0,True,True,0,0.0,0.7127659574468085
densenet201,model,train,600,352,248,600,,,True,True,0,0.0,0.5866666666666667
densenet201,model,internal_val,257,155,102,257,155.0,102.0,True,True,0,0.0,0.603112840466926
densenet201,model,external_test1,108,62,46,108,62.0,46.0,True,True,0,0.0,0.5740740740740741
densenet201,model,external_test2,94,67,27,94,67.0,27.0,True,True,0,0.0,0.7127659574468085
efficientnet_b0,gt,train,600,352,248,600,,,True,True,0,0.0,0.5866666666666667
efficientnet_b0,gt,internal_val,257,155,102,257,155.0,102.0,True,True,0,0.0,0.603112840466926
efficientnet_b0,gt,external_test1,108,62,46,108,62.0,46.0,True,True,0,0.0,0.5740740740740741
efficientnet_b0,gt,external_test2,94,67,27,94,67.0,27.0,True,True,0,0.0,0.7127659574468085
efficientnet_b0,model,train,600,352,248,600,,,True,True,0,0.0,0.5866666666666667
efficientnet_b0,model,internal_val,257,155,102,257,155.0,102.0,True,True,0,0.0,0.603112840466926
efficientnet_b0,model,external_test1,108,62,46,108,62.0,46.0,True,True,0,0.0,0.5740740740740741
efficientnet_b0,model,external_test2,94,67,27,94,67.0,27.0,True,True,0,0.0,0.7127659574468085
efficientnet_b1,gt,train,600,352,248,600,,,True,True,0,0.0,0.5866666666666667
efficientnet_b1,gt,internal_val,257,155,102,257,155.0,102.0,True,True,0,0.0,0.603112840466926
efficientnet_b1,gt,external_test1,108,62,46,108,62.0,46.0,True,True,0,0.0,0.5740740740740741
efficientnet_b1,gt,external_test2,94,67,27,94,67.0,27.0,True,True,0,0.0,0.7127659574468085
efficientnet_b1,model,train,600,352,248,600,,,True,True,0,0.0,0.5866666666666667
efficientnet_b1,model,internal_val,257,155,102,257,155.0,102.0,True,True,0,0.0,0.603112840466926
efficientnet_b1,model,external_test1,108,62,46,108,62.0,46.0,True,True,0,0.0,0.5740740740740741
efficientnet_b1,model,external_test2,94,67,27,94,67.0,27.0,True,True,0,0.0,0.7127659574468085
efficientnet_b2,gt,train,600,352,248,600,,,True,True,0,0.0,0.5866666666666667
efficientnet_b2,gt,internal_val,257,155,102,257,155.0,102.0,True,True,0,0.0,0.603112840466926
efficientnet_b2,gt,external_test1,108,62,46,108,62.0,46.0,True,True,0,0.0,0.5740740740740741
efficientnet_b2,gt,external_test2,94,67,27,94,67.0,27.0,True,True,0,0.0,0.7127659574468085
efficientnet_b2,model,train,600,352,248,600,,,True,True,0,0.0,0.5866666666666667
efficientnet_b2,model,internal_val,257,155,102,257,155.0,102.0,True,True,0,0.0,0.603112840466926
efficientnet_b2,model,external_test1,108,62,46,108,62.0,46.0,True,True,0,0.0,0.5740740740740741
efficientnet_b2,model,external_test2,94,67,27,94,67.0,27.0,True,True,0,0.0,0.7127659574468085
efficientnet_b3,gt,train,600,352,248,600,,,True,True,0,0.0,0.5866666666666667
efficientnet_b3,gt,internal_val,257,155,102,257,155.0,102.0,True,True,0,0.0,0.603112840466926
efficientnet_b3,gt,external_test1,108,62,46,108,62.0,46.0,True,True,0,0.0,0.5740740740740741
efficientnet_b3,gt,external_test2,94,67,27,94,67.0,27.0,True,True,0,0.0,0.7127659574468085
efficientnet_b3,model,train,600,352,248,600,,,True,True,0,0.0,0.5866666666666667
efficientnet_b3,model,internal_val,257,155,102,257,155.0,102.0,True,True,0,0.0,0.603112840466926
efficientnet_b3,model,external_test1,108,62,46,108,62.0,46.0,True,True,0,0.0,0.5740740740740741
efficientnet_b3,model,external_test2,94,67,27,94,67.0,27.0,True,True,0,0.0,0.7127659574468085
efficientnet_b4,gt,train,600,352,248,600,,,True,True,0,0.0,0.5866666666666667
efficientnet_b4,gt,internal_val,257,155,102,257,155.0,102.0,True,True,0,0.0,0.603112840466926
efficientnet_b4,gt,external_test1,108,62,46,108,62.0,46.0,True,True,0,0.0,0.5740740740740741
efficientnet_b4,gt,external_test2,94,67,27,94,67.0,27.0,True,True,0,0.0,0.7127659574468085
efficientnet_b4,model,train,600,352,248,600,,,True,True,0,0.0,0.5866666666666667
