arch,mask_variant,policy,threshold,split,n_total,n_malignant,n_benign,tp,fp,tn,fn,accuracy,accuracy_denom_n,accuracy_wilson_lo,accuracy_wilson_hi,sensitivity,sensitivity_denom_n,sensitivity_wilson_lo,sensitivity_wilson_hi,specificity,specificity_denom_n,specificity_wilson_lo,specificity_wilson_hi,ppv,ppv_denom_n,ppv_wilson_lo,ppv_wilson_hi,npv,npv_denom_n,npv_wilson_lo,npv_wilson_hi,youden_j,f1
densenet121,gt,fixed_0.5,0.5,train,600,352,248,334,63,185,18,0.865,600,0.8353232826996672,0.8900326755603313,0.9488636363636364,352,0.9206237352080061,0.9674121924977367,0.7459677419354839,248,0.6883214523776142,0.796110303105749,0.8413098236775819,397,0.8021199852225056,0.8739577857678069,0.9113300492610837,203,0.8642051865895177,0.943176471575871,0.6948313782991202,0.8918558077436582
densenet121,gt,max_accuracy,0.548333,train,600,352,248,331,59,189,21,0.8666666666666667,600,0.8371206082599051,0.8915474776633813,0.9403409090909091,352,0.9105229401644365,0.9606515458760075,0.7620967741935484,248,0.7053587713561178,0.8108390008802528,0.8487179487179487,390,0.8097649843762078,0.8808682486370656,0.9,210,0.8519683553183302,0.9336604040742433,0.7024376832844574,0.8921832884097035
densenet121,gt,youden_J,0.548333,train,600,352,248,331,59,189,21,0.8666666666666667,600,0.8371206082599051,0.8915474776633813,0.9403409090909091,352,0.9105229401644365,0.9606515458760075,0.7620967741935484,248,0.7053587713561178,0.8108390008802528,0.8487179487179487,390,0.8097649843762078,0.8808682486370656,0.9,210,0.8519683553183302,0.9336604040742433,0.7024376832844574,0.8921832884097035
densenet121,gt,fixed_0.5,0.5,internal_val,257,155,102,146,32,70,9,0.8404669260700389,257,0.7907337414613915,0.8801718760397639,0.9419354838709677,155,0.8933406283506057,0.9691545981295947,0.6862745098039216,102,0.5908573003203406,0.7681702529976437,0.8202247191011236,178,0.7572386909052302,0.8696810486268332,0.8860759493670886,79,0.7974520728901779,0.9388942067188184,0.6282099936748893,0.8768768768768769
densenet121,gt,max_accuracy,0.548333,internal_val,257,155,102,145,26,76,10,0.8599221789883269,257,0.812170696239278,0.8970723851190864,0.9354838709677419,155,0.8853221143360734,0.964581940954635,0.7450980392156863,102,0.6527012596010672,0.8197034158173332,0.847953216374269,171,0.7865389175839125,0.894077686753841,0.8837209302325582,86,0.7990278882092989,0.9355995417807128,0.6805819101834283,0.8895705521472392
densenet121,gt,youden_J,0.548333,internal_val,257,155,102,145,26,76,10,0.8599221789883269,257,0.812170696239278,0.8970723851190864,0.9354838709677419,155,0.8853221143360734,0.964581940954635,0.7450980392156863,102,0.6527012596010672,0.8197034158173332,0.847953216374269,171,0.7865389175839125,0.894077686753841,0.8837209302325582,86,0.7990278882092989,0.9355995417807128,0.6805819101834283,0.8895705521472392
densenet121,gt,fixed_0.5,0.5,external_test1,108,62,46,57,17,29,5,0.7962962962962963,108,0.7107866710637564,0.8614519305679135,0.9193548387096774,62,0.8247142865138739,0.9650616530140073,0.6304347826086957,46,0.48600096423389705,0.7547624540916037,0.7702702702702703,74,0.6625368552184813,0.8513281288915803,0.8529411764705882,34,0.6987194350454783,0.9355055855521753,0.5497896213183731,0.8382352941176471
densenet121,gt,max_accuracy,0.548333,external_test1,108,62,46,56,17,29,6,0.7870370370370371,108,0.7006656475723132,0.853690497758367,0.9032258064516129,62,0.8045118138769257,0.9548881279768061,0.6304347826086957,46,0.48600096423389705,0.7547624540916037,0.7671232876712328,73,0.6583273395609572,0.8492111767366657,0.8285714285714286,35,0.6731771770095504,0.9189735994629841,0.5336605890603086,0.8296296296296296
densenet121,gt,youden_J,0.548333,external_test1,108,62,46,56,17,29,6,0.7870370370370371,108,0.7006656475723132,0.853690497758367,0.9032258064516129,62,0.8045118138769257,0.9548881279768061,0.6304347826086957,46,0.48600096423389705,0.7547624540916037,0.7671232876712328,73,0.6583273395609572,0.8492111767366657,0.8285714285714286,35,0.6731771770095504,0.9189735994629841,0.5336605890603086,0.8296296296296296
densenet121,gt,fixed_0.5,0.5,external_test2,94,67,27,63,15,12,4,0.7978723404255319,94,0.7057493276333955,0.8666051801078118,0.9402985074626866,67,0.8563049895862846,0.9765406488601809,0.4444444444444444,27,0.27585858177023004,0.6268697548677552,0.8076923076923077,78,0.7066518728093648,0.8798479365985158,0.75,16,0.5050168346449122,0.8981793250878696,0.38474295190713104,0.8689655172413793
densenet121,gt,max_accuracy,0.548333,external_test2,94,67,27,63,14,13,4,0.8085106382978723,94,0.7174971706384233,0.8752985695221128,0.9402985074626866,67,0.8563049895862846,0.9765406488601809,0.48148148148148145,27,0.3074322697621846,0.6601438424504771,0.8181818181818182,77,0.7176371712788386,0.8884874671777944,0.7647058823529411,17,0.5273820188043501,0.9044495567791988,0.421779988944168,0.875
densenet121,gt,youden_J,0.548333,external_test2,94,67,27,63,14,13,4,0.8085106382978723,94,0.7174971706384233,0.8752985695221128,0.9402985074626866,67,0.8563049895862846,0.9765406488601809,0.48148148148148145,27,0.3074322697621846,0.6601438424504771,0.8181818181818182,77,0.7176371712788386,0.8884874671777944,0.7647058823529411,17,0.5273820188043501,0.9044495567791988,0.421779988944168,0.875
densenet121,model,fixed_0.5,0.5,train,600,352,248,303,81,167,49,0.7833333333333333,600,0.7486223270376837,0.8144393757212192,0.8607954545454546,352,0.820723869000361,0.8930771614972931,0.6733870967741935,248,0.6127613240869637,0.7287233560078662,0.7890625,384,0.7454960241946053,0.8269028128844252,0.7731481481481481,216,0.7128098833209908,0.8239405578059602,0.5341825513196481,0.8233695652173914
densenet121,model,max_accuracy,0.5,train,600,352,248,303,81,167,49,0.7833333333333333,600,0.7486223270376837,0.8144393757212192,0.8607954545454546,352,0.820723869000361,0.8930771614972931,0.6733870967741935,248,0.6127613240869637,0.7287233560078662,0.7890625,384,0.7454960241946053,0.8269028128844252,0.7731481481481481,216,0.7128098833209908,0.8239405578059602,0.5341825513196481,0.8233695652173914
densenet121,model,youden_J,0.5,train,600,352,248,303,81,167,49,0.7833333333333333,600,0.7486223270376837,0.8144393757212192,0.8607954545454546,352,0.820723869000361,0.8930771614972931,0.6733870967741935,248,0.6127613240869637,0.7287233560078662,0.7890625,384,0.7454960241946053,0.8269028128844252,0.7731481481481481,216,0.7128098833209908,0.8239405578059602,0.5341825513196481,0.8233695652173914
