arch,mask_variant,split,bin,bin_lo,bin_hi,n,n_events,mean_pred,obs_freq,obs_lo_wilson,obs_hi_wilson
densenet121,gt,train,1,0.003414999,0.060654000000000007,60,2,0.02741721666666667,0.03333333333333333,0.00918931925619787,0.113637742743086
densenet121,gt,train,2,0.060654000000000007,0.18307820000000002,60,5,0.11027618333333332,0.08333333333333333,0.03612045660173077,0.1806894201833441
densenet121,gt,train,3,0.18307820000000002,0.38482720000000004,60,6,0.27714825,0.1,0.04664283447388416,0.20149464723978772
densenet121,gt,train,4,0.38482720000000004,0.6688562,60,22,0.5294579333333334,0.36666666666666664,0.25620916687225426,0.49316999369896963
densenet121,gt,train,5,0.6688562,0.8447835,60,40,0.7737399333333332,0.6666666666666666,0.5405686645211968,0.7727073847647731
densenet121,gt,train,6,0.8447835,0.9337688,60,45,0.8905784333333333,0.75,0.6276792992295218,0.8422347746994333
densenet121,gt,train,7,0.9337688,0.9715796,60,53,0.9545701166666666,0.8833333333333333,0.7782121197582914,0.9423227935994396
densenet121,gt,train,8,0.9715796,0.9872150000000001,60,60,0.98051105,1.0,0.93982814785791,0.9999999999999998
densenet121,gt,train,9,0.9872150000000001,0.9959931000000001,60,59,0.9926432666666668,0.9833333333333333,0.9114487027240993,0.9970518402052136
densenet121,gt,train,10,0.9959931000000001,0.999722001,60,60,0.9979908,1.0,0.93982814785791,0.9999999999999998
densenet121,gt,internal_val,1,0.0006669989999999999,0.1256586,26,1,0.05724603846153846,0.038461538461538464,0.006821984993543487,0.18892778903034757
densenet121,gt,internal_val,2,0.1256586,0.3049198,26,2,0.20788523076923074,0.07692307692307693,0.0213550884722762,0.2414155377162906
densenet121,gt,internal_val,3,0.3049198,0.47701580000000016,25,5,0.37551152000000004,0.2,0.08860584686802572,0.3913095036954033
densenet121,gt,internal_val,4,0.47701580000000016,0.6794132000000002,26,14,0.5719701153846153,0.5384615384615384,0.35457938746858797,0.7124414646960878
densenet121,gt,internal_val,5,0.6794132000000002,0.7974,26,19,0.7456949615384614,0.7307692307692307,0.5391695962082381,0.8629555167798162
densenet121,gt,internal_val,6,0.7974,0.894032,25,21,0.8473388799999999,0.84,0.6534637839282114,0.9359654854332355
densenet121,gt,internal_val,7,0.894032,0.9373734,26,23,0.9219761153846153,0.8846153846153846,0.7102409678828635,0.9599675537638938
densenet121,gt,internal_val,8,0.9373734,0.9623016,25,19,0.95100228,0.76,0.5657031664457093,0.8850368630659855
densenet121,gt,internal_val,9,0.9623016,0.9863366,26,25,0.9761798076923077,0.9615384615384616,0.8110722109696524,0.9931780150064564
densenet121,gt,internal_val,10,0.9863366,0.999696001,26,26,0.9920790384615384,1.0,0.8712710781407846,1.0
densenet121,gt,external_test1,1,0.001020999,0.06627790000000001,11,0,0.024527545454545455,0.0,0.0,0.2588329669680317
densenet121,gt,external_test1,2,0.06627790000000001,0.2688966,11,3,0.16770809090909092,0.2727272727272727,0.09746059290024889,0.5656453011761291
densenet121,gt,external_test1,3,0.2688966,0.4594581,11,2,0.36644399999999994,0.18181818181818182,0.05136768974608513,0.4769805619608442
densenet121,gt,external_test1,4,0.4594581,0.6924868,10,3,0.5913137,0.3,0.10779126740630099,0.6032218525388546
densenet121,gt,external_test1,5,0.6924868,0.8380195,11,8,0.7480881818181818,0.7272727272727273,0.43435469882387084,0.902539407099751
densenet121,gt,external_test1,6,0.8380195,0.8968836000000001,11,8,0.8735132727272727,0.7272727272727273,0.43435469882387084,0.902539407099751
densenet121,gt,external_test1,7,0.8968836000000001,0.94363,10,8,0.9225161,0.8,0.4901624715366418,0.9433178485456248
densenet121,gt,external_test1,8,0.94363,0.967442,11,9,0.9566870909090909,0.8181818181818182,0.523019438039156,0.9486323102539149
densenet121,gt,external_test1,9,0.967442,0.9854229999999999,11,10,0.9771168181818183,0.9090909090909091,0.6226415635484043,0.9837678271141151
densenet121,gt,external_test1,10,0.9854229999999999,0.9977440009999999,11,11,0.992287090909091,1.0,0.7411670330319684,1.0
densenet121,gt,external_test2,1,0.002659999,0.1438077,10,2,0.061997500000000004,0.2,0.05668215145437519,0.5098375284633583
densenet121,gt,external_test2,2,0.1438077,0.619876,9,3,0.41378111111111104,0.3333333333333333,0.1205838183869109,0.6457978644196036
densenet121,gt,external_test2,3,0.619876,0.6799062,9,5,0.6494467777777778,0.5555555555555556,0.2666512934954931,0.8112214789023354
densenet121,gt,external_test2,4,0.6799062,0.7865398000000001,10,7,0.7325085,0.7,0.39677814746114537,0.8922087325936989
densenet121,gt,external_test2,5,0.7865398000000001,0.8673075,9,5,0.8473433333333333,0.5555555555555556,0.2666512934954931,0.8112214789023354
densenet121,gt,external_test2,6,0.8673075,0.9310508000000001,9,7,0.9017055555555555,0.7777777777777778,0.4525889691069889,0.9367748928821533
densenet121,gt,external_test2,7,0.9310508000000001,0.9733341000000001,10,10,0.9558563,1.0,0.7224672001371107,0.9999999999999999
densenet121,gt,external_test2,8,0.9733341000000001,0.984631,9,9,0.9790931111111111,1.0,0.7008549515804559,1.0
densenet121,gt,external_test2,9,0.984631,0.9914598,9,9,0.9886404444444445,1.0,0.7008549515804559,1.0
densenet121,gt,external_test2,10,0.9914598,0.9981960009999999,10,10,0.9951111000000001,1.0,0.7224672001371107,0.9999999999999999
densenet121,model,train,1,0.002282999,0.0626458,60,6,0.031246933333333338,0.1,0.04664283447388416,0.20149464723978772
densenet121,model,train,2,0.0626458,0.18818760000000004,60,13,0.1262849,0.21666666666666667,0.13123044048190308,0.33620027573194783
densenet121,model,train,3,0.18818760000000004,0.37824230000000003,60,14,0.27697326666666666,0.23333333333333334,0.1443956173664283,0.35436270377601964
densenet121,model,train,4,0.37824230000000003,0.5955526000000002,60,30,0.4776701,0.5,0.3773502424155577,0.6226497575844423
densenet121,model,train,5,0.5955526000000002,0.7529939999999999,60,35,0.6687263333333334,0.5833333333333334,0.45728081022640116,0.6993572144165838
densenet121,model,train,6,0.7529939999999999,0.8703578,60,37,0.8192209666666666,0.6166666666666667,0.49017595824099924,0.7291172762591798
densenet121,model,train,7,0.8703578,0.9469869000000001,60,45,0.9143380166666667,0.75,0.6276792992295218,0.8422347746994333
densenet121,model,train,8,0.9469869000000001,0.9739646,60,54,0.9624695500000001,0.9,0.7985053527602123,0.9533571655261158
densenet121,model,train,9,0.9739646,0.9929057,60,60,0.9848242500000001,1.0,0.93982814785791,0.9999999999999998
densenet121,model,train,10,0.9929057,0.9996430009999999,60,58,0.9964587166666665,0.9666666666666667,0.886362257256914,0.9908106807438021
densenet121,model,internal_val,1,0.0009349989999999999,0.05350620000000001,26,1,0.02307492307692308,0.038461538461538464,0.006821984993543487,0.18892778903034757
densenet121,model,internal_val,2,0.05350620000000001,0.1538918,26,4,0.09961365384615385,0.15384615384615385,0.061500337235783575,0.33531199328213473
densenet121,model,internal_val,3,0.1538918,0.3283796,25,5,0.23164572,0.2,0.08860584686802572,0.3913095036954033
densenet121,model,internal_val,4,0.3283796,0.5502856000000002,26,12,0.4583562307692307,0.46153846153846156,0.2875585353039122,0.6454206125314121
densenet121,model,internal_val,5,0.5502856000000002,0.718694,26,19,0.630080576923077,0.7307692307692307,0.5391695962082381,0.8629555167798162
densenet121,model,internal_val,6,0.718694,0.8877910000000001,25,17,0.79960012,0.68,0.48410269273102247,0.8279480969309202
densenet121,model,internal_val,7,0.8877910000000001,0.9352883999999999,26,22,0.9148602307692306,0.8461538461538461,0.6646880067178653,0.9384996627642164
densenet121,model,internal_val,8,0.9352883999999999,0.9675708,25,25,0.9522666,1.0,0.8668077490609515,0.9999999999999999
densenet121,model,internal_val,9,0.9675708,0.9827102,26,24,0.9763726153846155,0.9230769230769231,0.7585844622837095,0.9786449115277238
densenet121,model,internal_val,10,0.9827102,0.998599001,26,26,0.9921047692307694,1.0,0.8712710781407846,1.0
densenet121,model,external_test1,1,0.001986999,0.0458398,11,0,0.020817636363636365,0.0,0.0,0.2588329669680317
densenet121,model,external_test1,2,0.0458398,0.1563486,11,0,0.0829250909090909,0.0,0.0,0.2588329669680317
densenet121,model,external_test1,3,0.1563486,0.34743620000000003,11,4,0.2451375454545455,0.36363636363636365,0.15166471095367576,0.6461988254921511
densenet121,model,external_test1,4,0.34743620000000003,0.5136396000000001,10,4,0.4315941,0.4,0.16818032970623614,0.6873262302663417
densenet121,model,external_test1,5,0.5136396000000001,0.7293115,11,7,0.6261354545454545,0.6363636363636364,0.35380117450784887,0.8483352890463243
densenet121,model,external_test1,6,0.7293115,0.8260540000000001,11,10,0.7794536363636364,0.9090909090909091,0.6226415635484043,0.9837678271141151
densenet121,model,external_test1,7,0.8260540000000001,0.9171138000000001,10,8,0.8785095999999999,0.8,0.4901624715366418,0.9433178485456248
densenet121,model,external_test1,8,0.9171138000000001,0.9497182,11,8,0.9328429090909091,0.7272727272727273,0.43435469882387084,0.902539407099751
densenet121,model,external_test1,9,0.9497182,0.9817509,11,10,0.9654358181818181,0.9090909090909091,0.6226415635484043,0.9837678271141151
densenet121,model,external_test1,10,0.9817509,0.997179001,11,11,0.988334,1.0,0.7411670330319684,1.0
densenet121,model,external_test2,1,0.003668999,0.12509840000000003,10,3,0.04619669999999999,0.3,0.10779126740630099,0.6032218525388546
densenet121,model,external_test2,2,0.12509840000000003,0.38872920000000005,9,3,0.2488555555555556,0.3333333333333333,0.1205838183869109,0.6457978644196036
