arch,mask_variant,split,n_total,n_malignant,n_benign,prevalence,threshold_probability_pt,tp,fp,tn,fn,net_benefit_model,net_benefit_treat_all_correct,net_benefit_treat_all_WRONG_flat_at_prevalence,net_benefit_treat_none,delta_nb_model_minus_treat_all,standardised_net_benefit_model
densenet121,gt,train,600,352,248,0.5866666666666667,0.01,352,238,10,0,0.5826599326599327,0.5824915824915825,0.5866666666666667,0.0,0.00016835016835015093,0.9931703397612488
densenet121,gt,train,600,352,248,0.5866666666666667,0.02,352,223,25,0,0.5790816326530612,0.5782312925170068,0.5866666666666667,0.0,0.0008503401360544505,0.9870709647495362
densenet121,gt,train,600,352,248,0.5866666666666667,0.03,352,213,35,0,0.5756872852233677,0.5738831615120275,0.5866666666666667,0.0,0.0018041237113401998,0.981285145267104
densenet121,gt,train,600,352,248,0.5866666666666667,0.04,351,206,42,1,0.5706944444444444,0.5694444444444444,0.5866666666666667,0.0,0.0012499999999999734,0.9727746212121211
densenet121,gt,train,600,352,248,0.5866666666666667,0.05,351,197,51,1,0.567719298245614,0.5649122807017544,0.5866666666666667,0.0,0.0028070175438595912,0.9677033492822965
densenet121,gt,train,600,352,248,0.5866666666666667,0.06,350,191,57,2,0.5630141843971631,0.5602836879432624,0.5866666666666667,0.0,0.002730496453900666,0.9596832688588007
densenet121,gt,train,600,352,248,0.5866666666666667,0.07,349,186,62,3,0.5583333333333333,0.5555555555555556,0.5866666666666667,0.0,0.002777777777777768,0.9517045454545455
densenet121,gt,train,600,352,248,0.5866666666666667,0.08,349,177,71,3,0.5560144927536232,0.5507246376811594,0.5866666666666667,0.0,0.005289855072463823,0.9477519762845851
densenet121,gt,train,600,352,248,0.5866666666666667,0.09,349,173,75,3,0.5531501831501832,0.5457875457875458,0.5866666666666667,0.0,0.007362637362637314,0.9428696303696303
densenet121,gt,train,600,352,248,0.5866666666666667,0.1,349,166,82,3,0.5509259259259259,0.5407407407407407,0.5866666666666667,0.0,0.010185185185185186,0.9390782828282829
densenet121,gt,train,600,352,248,0.5866666666666667,0.11,348,158,90,4,0.5474531835205992,0.5355805243445693,0.5866666666666667,0.0,0.011872659176029976,0.9331588355464759
densenet121,gt,train,600,352,248,0.5866666666666667,0.12,348,156,92,4,0.5445454545454546,0.5303030303030303,0.5866666666666667,0.0,0.014242424242424279,0.928202479338843
densenet121,gt,train,600,352,248,0.5866666666666667,0.13,347,153,95,5,0.5402298850574713,0.524904214559387,0.5866666666666667,0.0,0.01532567049808431,0.9208463949843261
densenet121,gt,train,600,352,248,0.5866666666666667,0.14,347,145,103,5,0.5389922480620155,0.5193798449612403,0.5866666666666667,0.0,0.019612403100775166,0.9187367864693446
densenet121,gt,train,600,352,248,0.5866666666666667,0.15,347,142,106,5,0.5365686274509804,0.5137254901960784,0.5866666666666667,0.0,0.022843137254902057,0.9146056149732621
densenet121,gt,train,600,352,248,0.5866666666666667,0.16,346,138,110,6,0.5328571428571428,0.5079365079365079,0.5866666666666667,0.0,0.0249206349206349,0.9082792207792207
densenet121,gt,train,600,352,248,0.5866666666666667,0.17,345,137,111,7,0.5282329317269076,0.5020080321285141,0.5866666666666667,0.0,0.02622489959839347,0.9003970427163197
densenet121,gt,train,600,352,248,0.5866666666666667,0.18,345,136,112,7,0.5252439024390243,0.49593495934959353,0.5866666666666667,0.0,0.029308943089430772,0.8953021064301551
densenet121,gt,train,600,352,248,0.5866666666666667,0.19,345,128,120,7,0.5249588477366255,0.4897119341563786,0.5866666666666667,0.0,0.0352469135802469,0.8948162177328843
densenet121,gt,train,600,352,248,0.5866666666666667,0.2,345,126,122,7,0.5225,0.48333333333333334,0.5866666666666667,0.0,0.03916666666666663,0.8906249999999999
densenet121,gt,train,600,352,248,0.5866666666666667,0.21,345,123,125,7,0.520506329113924,0.4767932489451477,0.5866666666666667,0.0,0.04371308016877634,0.8872266973532796
densenet121,gt,train,600,352,248,0.5866666666666667,0.22,345,118,130,7,0.5195299145299145,0.4700854700854701,0.5866666666666667,0.0,0.0494444444444444,0.8855623543123542
densenet121,gt,train,600,352,248,0.5866666666666667,0.23,345,115,133,7,0.5177489177489177,0.46320346320346323,0.5866666666666667,0.0,0.05454545454545451,0.8825265643447462
densenet121,gt,train,600,352,248,0.5866666666666667,0.24,345,113,135,7,0.5155263157894736,0.45614035087719296,0.5866666666666667,0.0,0.05938596491228065,0.8787380382775118
densenet121,gt,train,600,352,248,0.5866666666666667,0.25,345,111,137,7,0.5133333333333333,0.4488888888888889,0.5866666666666667,0.0,0.06444444444444442,0.875
