mask_variant,arch,internal_val_threshold_max_acc,internal_val_accuracy,internal_val_sensitivity,internal_val_specificity,internal_val_auc,internal_val_auc_delong_lo,internal_val_auc_delong_hi,internal_val_auprc,external_test1_auc,external_test1_accuracy,external_test1_sensitivity,external_test1_specificity,external_test2_auc,external_test2_accuracy,external_test2_sensitivity,external_test2_specificity,rank_by_internal_val_accuracy,rank_by_internal_val_auc,rank_by_external_test1_auc,rank_by_external_test2_auc
gt,densenet121,0.548333,0.8599221789883269,0.9354838709677419,0.7450980392156863,0.9026565464895635,0.8641007616329016,0.9412123313462258,0.9268780429744485,0.8783309957924264,0.7870370370370371,0.9032258064516129,0.6304347826086957,0.8772802653399668,0.8085106382978723,0.9402985074626866,0.48148148148148145,1.0,3.0,3.0,1.0
gt,efficientnet_b0,0.479711,0.8443579766536965,0.9096774193548387,0.7450980392156863,0.9123339658444023,0.878494971131668,0.9461729605571366,0.9423877106284873,0.903225806451613,0.8333333333333334,0.9193548387096774,0.717391304347826,0.8247650635710337,0.7446808510638298,0.7910447761194029,0.6296296296296297,2.0,2.0,1.0,8.0
gt,inception_v3,0.60521,0.8365758754863813,0.8387096774193549,0.8333333333333334,0.8850727387729285,0.8416700902233106,0.9284753873225463,0.9100626175506203,0.8390603085553998,0.8055555555555556,0.8225806451612904,0.782608695652174,0.8264234383637369,0.7553191489361702,0.8208955223880597,0.5925925925925926,3.0,4.0,7.0,6.0
gt,resnet101,0.703676,0.8365758754863813,0.9096774193548387,0.7254901960784313,0.9144845034788109,0.8820687761741506,0.9469002307834713,0.9458167472298552,0.8572931276297335,0.7777777777777778,0.8870967741935484,0.6304347826086957,0.8253178551686015,0.7659574468085106,0.8208955223880597,0.6296296296296297,3.0,1.0,5.0,7.0
gt,densenet201,0.663756,0.8171206225680934,0.7935483870967742,0.8529411764705882,0.8763440860215054,0.8323682300552199,0.9203199419877911,0.9045809853864559,0.8643057503506311,0.8055555555555556,0.8387096774193549,0.7608695652173914,0.8380320619126589,0.7553191489361702,0.7761194029850746,0.7037037037037037,5.0,5.0,4.0,4.0
gt,efficientnet_b4,0.502635,0.8171206225680934,0.8580645161290322,0.7549019607843137,0.8744465528146742,0.8317688966736227,0.9171242089557259,0.9139917628715555,0.8856942496493689,0.8425925925925926,0.8870967741935484,0.782608695652174,0.7213930348258706,0.7021276595744681,0.7910447761194029,0.48148148148148145,5.0,6.0,2.0,11.0
gt,resnet18,0.465852,0.8054474708171206,0.9161290322580645,0.6372549019607843,0.853573687539532,0.8065936936861334,0.9005536813929303,0.8905214844503779,0.8513323983169706,0.75,0.8870967741935484,0.5652173913043478,0.8673300165837479,0.8404255319148937,0.9253731343283582,0.6296296296296297,7.0,10.0,6.0,3.0
gt,efficientnet_b3,0.500493,0.8015564202334631,0.8709677419354839,0.696078431372549,0.8597090449082859,0.8112817926529388,0.9081362971636333,0.8763483616110601,0.832748948106592,0.75,0.8225806451612904,0.6521739130434783,0.6965174129353233,0.7127659574468085,0.7910447761194029,0.5185185185185185,8.0,8.0,9.0,12.0
gt,efficientnet_b1,0.481287,0.7976653696498055,0.8580645161290322,0.7058823529411765,0.8586337760910816,0.8118904929311143,0.9053770592510489,0.892364496545908,0.829593267882188,0.7685185185185185,0.8548387096774194,0.6521739130434783,0.8756218905472637,0.7446808510638298,0.7761194029850746,0.6666666666666666,9.0,9.0,10.0,2.0
gt,efficientnet_b2,0.506876,0.7976653696498055,0.8129032258064516,0.7745098039215687,0.8638836179633144,0.8184301350122957,0.9093371009143333,0.8968742609992033,0.8043478260869565,0.7314814814814815,0.7580645161290323,0.6956521739130435,0.8302929795467109,0.7553191489361702,0.8059701492537313,0.6296296296296297,9.0,7.0,12.0,5.0
gt,efficientnet_b5,0.507291,0.7782101167315175,0.8,0.7450980392156863,0.8514231499051232,0.8054135194943378,0.8974327803159091,0.9067842430554304,0.8124123422159889,0.7592592592592593,0.7419354838709677,0.782608695652174,0.746268656716418,0.6276595744680851,0.6417910447761194,0.5925925925925926,11.0,11.0,11.0,10.0
gt,resnet50,0.677875,0.7626459143968871,0.7225806451612903,0.8235294117647058,0.8351043643263757,0.7871549844022206,0.883053744250531,0.8939146237132155,0.8383590462833099,0.7592592592592593,0.7419354838709677,0.782608695652174,0.7810945273631842,0.7021276595744681,0.746268656716418,0.5925925925925926,12.0,12.0,8.0,9.0
gt,vgg19,0.509953,0.6498054474708171,1.0,0.11764705882352941,0.509709044908286,0.431475079693016,0.5879430101235559,0.5782625550601861,0.7023141654978962,0.6666666666666666,1.0,0.21739130434782608,0.5594250967385296,0.7553191489361702,0.9402985074626866,0.2962962962962963,13.0,13.0,13.0,13.0
