experiment,seed,variant,split,arch,metric,value,threshold,rank,n_compared,n_tied_at_value
earlier_accuracy_sweep,67,gt,internal_val,densenet121,accuracy,0.8599221789548668,0.5,1,13,2
earlier_accuracy_sweep,67,gt,internal_val,efficientnet_b0,accuracy,0.8599221789548668,0.5,1,13,2
earlier_accuracy_sweep,67,gt,internal_val,efficientnet_b1,accuracy,0.8521400777878545,0.5,3,13,1
earlier_accuracy_sweep,67,gt,internal_val,efficientnet_b4,accuracy,0.8443579766208421,0.5,4,13,1
earlier_accuracy_sweep,67,gt,internal_val,densenet201,accuracy,0.8249027237033112,0.5,5,13,1
earlier_accuracy_sweep,67,gt,internal_val,efficientnet_b2,accuracy,0.8171206225362988,0.5,6,13,1
earlier_accuracy_sweep,67,gt,internal_val,inception_v3,accuracy,0.801556420202274,0.5,7,13,1
earlier_accuracy_sweep,67,gt,internal_val,efficientnet_b3,accuracy,0.7937743190352616,0.5,8,13,2
earlier_accuracy_sweep,67,gt,internal_val,resnet18,accuracy,0.7937743190352616,0.5,8,13,2
earlier_accuracy_sweep,67,gt,internal_val,resnet101,accuracy,0.7743190661177307,0.5,10,13,2
earlier_accuracy_sweep,67,gt,internal_val,resnet50,accuracy,0.7743190661177307,0.5,10,13,2
earlier_accuracy_sweep,67,gt,internal_val,efficientnet_b5,accuracy,0.7431906614496813,0.5,12,13,1
earlier_accuracy_sweep,67,gt,internal_val,vgg19,accuracy,0.7392996108661751,0.5,13,13,1
earlier_accuracy_sweep,67,gt,internal_val,efficientnet_b1,auc,0.930044275774826,0.5,1,13,1
earlier_accuracy_sweep,67,gt,internal_val,densenet121,auc,0.9273877292852626,0.5,2,13,1
earlier_accuracy_sweep,67,gt,internal_val,efficientnet_b0,auc,0.9205566097406703,0.5,3,13,1
earlier_accuracy_sweep,67,gt,internal_val,inception_v3,auc,0.9008222643896268,0.5,4,13,1
earlier_accuracy_sweep,67,gt,internal_val,resnet18,auc,0.8994939911448451,0.5,5,13,1
earlier_accuracy_sweep,67,gt,internal_val,efficientnet_b4,auc,0.8989879822896901,0.5,6,13,1
earlier_accuracy_sweep,67,gt,internal_val,densenet201,auc,0.89146110056926,0.5,7,13,1
earlier_accuracy_sweep,67,gt,internal_val,efficientnet_b3,auc,0.8817204301075269,0.5,8,13,1
earlier_accuracy_sweep,67,gt,internal_val,resnet101,auc,0.8708412397216952,0.5,9,13,1
earlier_accuracy_sweep,67,gt,internal_val,efficientnet_b2,auc,0.8708412397216951,0.5,10,13,1
earlier_accuracy_sweep,67,gt,internal_val,resnet50,auc,0.8566097406704617,0.5,11,13,1
earlier_accuracy_sweep,67,gt,internal_val,vgg19,auc,0.826091081593928,0.5,12,13,1
earlier_accuracy_sweep,67,gt,internal_val,efficientnet_b5,auc,0.7978494623655914,0.5,13,13,1
earlier_accuracy_sweep,1234,gt,internal_val,resnet50,accuracy,0.863813229538373,0.5,1,13,1
