experiment,seed,variant,split,arch,metric,value,threshold,rank,n_compared,n_tied_at_value
earlier_accuracy_sweep,67,gt,internal_val,densenet121,accuracy,0.8599221789548668,0.5,1,13,2
earlier_accuracy_sweep,67,gt,internal_val,densenet121,auc,0.9273877292852626,0.5,2,13,1
earlier_accuracy_sweep,1234,gt,internal_val,densenet121,accuracy,0.8249027237033112,0.5,4,13,3
earlier_accuracy_sweep,1234,gt,internal_val,densenet121,auc,0.9101834282099937,0.5,4,13,1
earlier_accuracy_sweep,2025,gt,internal_val,densenet121,accuracy,0.8210116731198049,0.5,6,13,1
earlier_accuracy_sweep,2025,gt,internal_val,densenet121,auc,0.8845667299177735,0.5,7,13,1
original_224px,67,gt,external_test1,densenet121,accuracy,0.7870370370370371,0.548333,5,13,1
original_224px,67,gt,external_test1,densenet121,auc,0.8783309957924264,0.548333,3,13,1
original_224px,67,gt,external_test2,densenet121,accuracy,0.8085106382978723,0.548333,2,13,1
original_224px,67,gt,external_test2,densenet121,auc,0.8772802653399668,0.548333,1,13,1
original_224px,67,gt,internal_val,densenet121,accuracy,0.8599221789883269,0.548333,1,13,1
original_224px,67,gt,internal_val,densenet121,auc,0.9026565464895635,0.548333,3,13,1
original_224px,67,model,external_test1,densenet121,accuracy,0.8148148148148148,0.5,3,13,2
original_224px,67,model,external_test1,densenet121,auc,0.8892005610098177,0.5,3,13,1
original_224px,67,model,external_test2,densenet121,accuracy,0.8191489361702128,0.5,1,13,1
original_224px,67,model,external_test2,densenet121,auc,0.8645660585959093,0.5,1,13,1
original_224px,67,model,internal_val,densenet121,accuracy,0.8560311284046692,0.5,1,13,1
original_224px,67,model,internal_val,densenet121,auc,0.905629348513599,0.5,2,13,1
revision_auc_sweep,67,gt,internal_val,densenet121,accuracy,0.8443579766536965,0.3827771842479706,2,13,1
revision_auc_sweep,67,gt,internal_val,densenet121,auc,0.9118912080961418,0.3827771842479706,2,13,1
revision_auc_sweep,1234,gt,internal_val,densenet121,accuracy,0.8249027237354085,0.5640755891799927,6,13,1
revision_auc_sweep,1234,gt,internal_val,densenet121,auc,0.8829854522454142,0.5640755891799927,7,13,1
revision_auc_sweep,2025,gt,internal_val,densenet121,accuracy,0.8093385214007782,0.5623857378959656,8,13,1
revision_auc_sweep,2025,gt,internal_val,densenet121,auc,0.8702719797596458,0.5623857378959656,8,13,1
