arch,mask_variant,split,threshold,n_total,n_malignant,n_benign,tp,fp,tn,fn,metric,numerator,denominator,denominator_n,estimate,wilson_lo,wilson_hi,delong_lo,delong_hi,delong_logit_lo,delong_logit_hi,delong_se,boot_lo,boot_hi,whole_cohort_wilson_lo,whole_cohort_wilson_hi
efficientnet_b0,gt,train,0.5483,600,352,248,231,39,209,121,AUC,,352 malignant vs 248 benign,,0.8326670179618769,,,0.8007378545613673,0.8645961813623866,0.7982657462788082,0.8622144918290733,0.01629068883528618,0.8014989232038123,0.8622558593749999,,
efficientnet_b0,gt,train,0.5483,600,352,248,231,39,209,121,AUPRC,,352 malignant vs 248 benign,,0.879800134298868,,,,,,,,0.8535916197515858,0.9039096572358017,,
efficientnet_b0,gt,train,0.5483,600,352,248,231,39,209,121,accuracy,440.0,all cases,600.0,0.7333333333333333,0.6965463953009372,0.7671514775593358,,,,,,0.7,0.7666666666666667,0.6965463953009372,0.7671514775593358
efficientnet_b0,gt,train,0.5483,600,352,248,231,39,209,121,sensitivity,231.0,malignant cases,352.0,0.65625,0.6051856828891574,0.7039407476413228,,,,,,0.6079545454545454,0.7017755681818177,0.6173600958558912,0.6931518725773272
efficientnet_b0,gt,train,0.5483,600,352,248,231,39,209,121,specificity,209.0,benign cases,248.0,0.842741935483871,0.7922497609042949,0.8827780950971131,,,,,,0.8023185483870967,0.8870967741935484,0.811443520490552,0.869679507040379
efficientnet_b0,gt,train,0.5483,600,352,248,231,39,209,121,ppv,231.0,test-positive cases,270.0,0.8555555555555555,0.8086337382551874,0.8925018780494194,,,,,,0.8210087693826587,0.8921961681441235,0.8251636165960823,0.8814236182386195
efficientnet_b0,gt,train,0.5483,600,352,248,231,39,209,121,npv,209.0,test-negative cases,330.0,0.6333333333333333,0.5800835506076417,0.6835146265356732,,,,,,0.5988534517225295,0.668769716088328,0.594039718833861,0.6709304942291522
efficientnet_b0,gt,internal_val,0.5483,257,155,102,120,6,96,35,AUC,,155 malignant vs 102 benign,,0.9454142947501583,,,0.919349167322927,0.9714794221773895,0.9126773734962846,0.9663310216781036,0.01329877876982923,0.9170777988614801,0.9691366223908918,,
efficientnet_b0,gt,internal_val,0.5483,257,155,102,120,6,96,35,AUPRC,,155 malignant vs 102 benign,,0.9646030967973609,,,,,,,,0.9457426686388696,0.9808076994742252,,
efficientnet_b0,gt,internal_val,0.5483,257,155,102,120,6,96,35,accuracy,216.0,all cases,257.0,0.8404669260700389,0.7907337414613915,0.8801718760397639,,,,,,0.7975680933852141,0.8832684824902723,0.7907337414613915,0.8801718760397639
efficientnet_b0,gt,internal_val,0.5483,257,155,102,120,6,96,35,sensitivity,120.0,malignant cases,155.0,0.7741935483870968,0.7022033100831999,0.8329214654702091,,,,,,0.7032258064516129,0.8387096774193549,0.7192547566112419,0.8210561452989051
efficientnet_b0,gt,internal_val,0.5483,257,155,102,120,6,96,35,specificity,96.0,benign cases,102.0,0.9411764705882353,0.8775640550984952,0.9727643606546253,,,,,,0.8921568627450981,0.9803921568627451,0.9053950560861416,0.9639633154993893
efficientnet_b0,gt,internal_val,0.5483,257,155,102,120,6,96,35,ppv,120.0,test-positive cases,126.0,0.9523809523809523,0.8999983205231048,0.9779955116120489,,,,,,0.9152410984101957,0.9840031746031745,0.9190299808181414,0.9724073335378155
efficientnet_b0,gt,internal_val,0.5483,257,155,102,120,6,96,35,npv,96.0,test-negative cases,131.0,0.732824427480916,0.651212375133185,0.8011707460040237,,,,,,0.676056338028169,0.792,0.6755882169437696,0.7832029440405538
efficientnet_b0,gt,external_test1,0.5483,108,62,46,52,7,39,10,AUC,,62 malignant vs 46 benign,,0.902524544179523,,,0.8446725872182518,0.9603765011407942,0.8274972086714766,0.9470095883329424,0.029516846951066503,0.8418653576437588,0.9547685834502104,,
efficientnet_b0,gt,external_test1,0.5483,108,62,46,52,7,39,10,AUPRC,,62 malignant vs 46 benign,,0.9278879926176296,,,,,,,,0.8799356539877291,0.9668781424393122,,
efficientnet_b0,gt,external_test1,0.5483,108,62,46,52,7,39,10,accuracy,91.0,all cases,108.0,0.8425925925925926,0.7623129098457861,0.899337973290832,,,,,,0.7777777777777778,0.9074074074074074,0.7623129098457861,0.899337973290832
efficientnet_b0,gt,external_test1,0.5483,108,62,46,52,7,39,10,sensitivity,52.0,malignant cases,62.0,0.8387096774193549,0.7279366398602256,0.9099593112969091,,,,,,0.7419354838709677,0.9193548387096774,0.7579259852969256,0.8962258032618584
efficientnet_b0,gt,external_test1,0.5483,108,62,46,52,7,39,10,specificity,39.0,benign cases,46.0,0.8478260869565217,0.71775860447939,0.9242771777219454,,,,,,0.7391304347826086,0.9347826086956522,0.7682469208545348,0.9035114375826427
efficientnet_b0,gt,external_test1,0.5483,108,62,46,52,7,39,10,ppv,52.0,test-positive cases,59.0,0.8813559322033898,0.7747635960001831,0.9413241722420971,,,,,,0.8064516129032258,0.951632104454685,0.8069124745559585,0.9296022510610743
efficientnet_b0,gt,external_test1,0.5483,108,62,46,52,7,39,10,npv,39.0,test-negative cases,49.0,0.7959183673469388,0.6636299908048744,0.8851815039421786,,,,,,0.7068965517241379,0.8913043478260869,0.71037246817943,0.8611362372766892
efficientnet_b0,gt,external_test2,0.5483,94,67,27,55,6,21,12,AUC,,67 malignant vs 27 benign,,0.8529574350469871,,,0.772485506556605,0.9334293635373692,0.7533153858170974,0.9167969309079725,0.04105786082047143,0.7606274184632393,0.9275843007186291,,
