arch,mask_variant,policy,threshold,split,n_total,n_malignant,n_benign,tp,fp,tn,fn,accuracy,accuracy_denom_n,accuracy_wilson_lo,accuracy_wilson_hi,sensitivity,sensitivity_denom_n,sensitivity_wilson_lo,sensitivity_wilson_hi,specificity,specificity_denom_n,specificity_wilson_lo,specificity_wilson_hi,ppv,ppv_denom_n,ppv_wilson_lo,ppv_wilson_hi,npv,npv_denom_n,npv_wilson_lo,npv_wilson_hi,youden_j,f1
efficientnet_b0,gt,fixed_0.5,0.5,train,600,352,248,250,53,195,102,0.7416666666666667,600,0.7051828984726697,0.7750756127040418,0.7102272727272727,352,0.6607677708212935,0.7551477902560798,0.7862903225806451,248,0.731107730457856,0.8327390669080258,0.8250825082508251,303,0.778311692107662,0.8637136742073863,0.6565656565656566,297,0.6008705272386515,0.7082623973408338,0.49651759530791795,0.7633587786259542
efficientnet_b0,gt,max_accuracy,0.426287,train,600,352,248,299,94,154,53,0.755,600,0.7190355577019193,0.7877199747810933,0.8494318181818182,352,0.8083107058517859,0.8830084024254697,0.6209677419354839,248,0.5591761892926199,0.6790689363549358,0.7608142493638677,393,0.7162429466443362,0.8003361441825264,0.7439613526570048,207,0.6804377912563987,0.7985951302806004,0.4703995601173021,0.8026845637583893
efficientnet_b0,gt,youden_J,0.505424,train,600,352,248,250,53,195,102,0.7416666666666667,600,0.7051828984726697,0.7750756127040418,0.7102272727272727,352,0.6607677708212935,0.7551477902560798,0.7862903225806451,248,0.731107730457856,0.8327390669080258,0.8250825082508251,303,0.778311692107662,0.8637136742073863,0.6565656565656566,297,0.6008705272386515,0.7082623973408338,0.49651759530791795,0.7633587786259542
efficientnet_b0,gt,fixed_0.5,0.5,internal_val,257,155,102,131,9,93,24,0.8715953307392996,257,0.8251573167235321,0.9070882429491577,0.8451612903225807,155,0.7799410071816497,0.8936866514561712,0.9117647058823529,102,0.8407554144604857,0.9528844402424269,0.9357142857142857,140,0.8823423857613151,0.9658136396310537,0.7948717948717948,117,0.7128955389550506,0.8581005469361578,0.7569259962049335,0.888135593220339
efficientnet_b0,gt,max_accuracy,0.426287,internal_val,257,155,102,146,20,82,9,0.8871595330739299,257,0.8426400998917136,0.9202754308667431,0.9419354838709677,155,0.8933406283506057,0.9691545981295947,0.803921568627451,102,0.7164524743574987,0.8693293231613177,0.8795180722891566,166,0.821230911055624,0.9206374223589007,0.9010989010989011,91,0.8226142190849851,0.9470913601808583,0.7458570524984187,0.9096573208722741
efficientnet_b0,gt,youden_J,0.505424,internal_val,257,155,102,131,8,94,24,0.8754863813229572,257,0.829509168659479,0.9104038837846525,0.8451612903225807,155,0.7799410071816497,0.8936866514561712,0.9215686274509803,102,0.8528127275871086,0.95972331413254,0.9424460431654677,139,0.890543439626562,0.970551098440284,0.7966101694915254,118,0.7151769904138203,0.8593400966067339,0.7667299177735609,0.891156462585034
efficientnet_b0,gt,fixed_0.5,0.5,external_test1,108,62,46,53,9,37,9,0.8333333333333334,108,0.7518731501613105,0.8918952766743182,0.8548387096774194,62,0.7465660628844542,0.9217058859468299,0.8043478260869565,46,0.6682874107701539,0.8934938986560147,0.8548387096774194,62,0.7465660628844542,0.9217058859468299,0.8043478260869565,46,0.6682874107701539,0.8934938986560147,0.659186535764376,0.8548387096774194
efficientnet_b0,gt,max_accuracy,0.426287,external_test1,108,62,46,58,14,32,4,0.8333333333333334,108,0.7518731501613105,0.8918952766743182,0.9354838709677419,62,0.8455248427224711,0.9746270944795592,0.6956521739130435,46,0.5519435355159235,0.8092015919723277,0.8055555555555556,72,0.6996724105411147,0.8804852062054944,0.8888888888888888,36,0.7468519140963513,0.9559335969968435,0.6311360448807855,0.8656716417910447
efficientnet_b0,gt,youden_J,0.505424,external_test1,108,62,46,53,9,37,9,0.8333333333333334,108,0.7518731501613105,0.8918952766743182,0.8548387096774194,62,0.7465660628844542,0.9217058859468299,0.8043478260869565,46,0.6682874107701539,0.8934938986560147,0.8548387096774194,62,0.7465660628844542,0.9217058859468299,0.8043478260869565,46,0.6682874107701539,0.8934938986560147,0.659186535764376,0.8548387096774194
efficientnet_b0,gt,fixed_0.5,0.5,external_test2,94,67,27,57,7,20,10,0.8191489361702128,94,0.7293303791966494,0.8839065933832155,0.8507462686567164,67,0.7465960395409149,0.9168572656622017,0.7407407407407407,27,0.5532142868544692,0.8682962543809281,0.890625,64,0.7910135867310387,0.945998866555832,0.6666666666666666,30,0.4878005164454384,0.8076950191632386,0.5914870093974571,0.8702290076335878
