arch,mask_variant,split,n_total,n_malignant,n_benign,prevalence,threshold_probability_pt,tp,fp,tn,fn,net_benefit_model,net_benefit_treat_all_correct,net_benefit_treat_all_WRONG_flat_at_prevalence,net_benefit_treat_none,delta_nb_model_minus_treat_all,standardised_net_benefit_model
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.01,352,248,0,0,0.5824915824915825,0.5824915824915825,0.5866666666666667,0.0,0.0,0.9928833792470156
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.02,352,248,0,0,0.5782312925170068,0.5782312925170068,0.5866666666666667,0.0,0.0,0.985621521335807
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.03,352,248,0,0,0.5738831615120275,0.5738831615120275,0.5866666666666667,0.0,0.0,0.9782099343955013
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.04,352,248,0,0,0.5694444444444444,0.5694444444444444,0.5866666666666667,0.0,0.0,0.9706439393939393
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.05,352,248,0,0,0.5649122807017544,0.5649122807017544,0.5866666666666667,0.0,0.0,0.9629186602870813
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.06,352,248,0,0,0.5602836879432624,0.5602836879432624,0.5866666666666667,0.0,0.0,0.9550290135396519
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.07,352,248,0,0,0.5555555555555556,0.5555555555555556,0.5866666666666667,0.0,0.0,0.946969696969697
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.08,352,248,0,0,0.5507246376811594,0.5507246376811594,0.5866666666666667,0.0,0.0,0.9387351778656127
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.09,352,248,0,0,0.5457875457875458,0.5457875457875458,0.5866666666666667,0.0,0.0,0.9303196803196804
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.1,352,248,0,0,0.5407407407407407,0.5407407407407407,0.5866666666666667,0.0,0.0,0.9217171717171717
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.11,352,248,0,0,0.5355805243445693,0.5355805243445693,0.5866666666666667,0.0,0.0,0.9129213483146067
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.12,352,248,0,0,0.5303030303030303,0.5303030303030303,0.5866666666666667,0.0,0.0,0.9039256198347106
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.13,352,248,0,0,0.524904214559387,0.524904214559387,0.5866666666666667,0.0,0.0,0.894723092998955
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.14,352,246,2,0,0.519922480620155,0.5193798449612403,0.5866666666666667,0.0,0.0005426356589146586,0.8862315010570824
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.15,352,245,3,0,0.5146078431372549,0.5137254901960784,0.5866666666666667,0.0,0.0008823529411765563,0.8771724598930482
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.16,352,244,4,0,0.5092063492063492,0.5079365079365079,0.5866666666666667,0.0,0.0012698412698413097,0.8679653679653679
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.17,352,243,5,0,0.503714859437751,0.5020080321285141,0.5866666666666667,0.0,0.0017068273092368802,0.858604874041621
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.18,352,243,5,0,0.49776422764227646,0.49593495934959353,0.5866666666666667,0.0,0.0018292682926829285,0.8484617516629712
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.19,352,240,8,0,0.4928395061728395,0.4897119341563786,0.5866666666666667,0.0,0.003127572016460911,0.8400673400673401
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.2,351,236,12,1,0.48666666666666664,0.48333333333333334,0.5866666666666667,0.0,0.0033333333333332993,0.8295454545454545
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.21,351,234,14,1,0.4813291139240506,0.4767932489451477,0.5866666666666667,0.0,0.004535864978902904,0.8204473532796317
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.22,350,227,21,2,0.4766239316239317,0.4700854700854701,0.5866666666666667,0.0,0.006538461538461604,0.8124271561771563
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.23,349,224,24,3,0.47015151515151515,0.46320346320346323,0.5866666666666667,0.0,0.006948051948051925,0.8013946280991735
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.24,349,216,32,3,0.4679824561403509,0.45614035087719296,0.5866666666666667,0.0,0.011842105263157932,0.7976973684210527
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.25,348,214,34,4,0.4611111111111111,0.4488888888888889,0.5866666666666667,0.0,0.01222222222222219,0.7859848484848484
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.26,347,212,36,5,0.4541891891891892,0.44144144144144143,0.5866666666666667,0.0,0.012747747747747784,0.774186117936118
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.27,347,205,43,5,0.4519634703196347,0.4337899543378995,0.5866666666666667,0.0,0.018173515981735167,0.7703922789539227
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.28,344,198,50,8,0.445,0.42592592592592593,0.5866666666666667,0.0,0.019074074074074077,0.7585227272727273
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.29,342,194,54,10,0.43793427230046944,0.4178403755868545,0.5866666666666667,0.0,0.020093896713614945,0.7464788732394365
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.3,341,184,64,11,0.4369047619047619,0.4095238095238095,0.5866666666666667,0.0,0.027380952380952395,0.744724025974026
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.31,337,179,69,15,0.42763285024154585,0.40096618357487923,0.5866666666666667,0.0,0.026666666666666616,0.7289196310935441
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.32,337,170,78,15,0.42833333333333334,0.39215686274509803,0.5866666666666667,0.0,0.03617647058823531,0.7301136363636364
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.33,334,165,83,18,0.42121890547263674,0.38308457711442784,0.5866666666666667,0.0,0.0381343283582089,0.7179867706919945
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.34,333,159,89,19,0.41848484848484846,0.3737373737373737,0.5866666666666667,0.0,0.04474747474747476,0.7133264462809917
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.35,331,151,97,21,0.41615384615384615,0.36410256410256414,0.5866666666666667,0.0,0.05205128205128201,0.7093531468531469
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.36,326,143,105,26,0.40927083333333336,0.3541666666666667,0.5866666666666667,0.0,0.055104166666666676,0.6976207386363636
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.37,324,134,114,28,0.4088359788359789,0.34391534391534395,0.5866666666666667,0.0,0.06492063492063493,0.6968795093795095
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.38,322,123,125,30,0.4110215053763441,0.3333333333333333,0.5866666666666667,0.0,0.07768817204301076,0.7006048387096774
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.39,316,115,133,36,0.4041256830601092,0.3224043715846994,0.5866666666666667,0.0,0.08172131147540979,0.6888505961251862
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.4,312,110,138,40,0.3977777777777778,0.31111111111111106,0.5866666666666667,0.0,0.08666666666666673,0.6780303030303031
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.41,308,104,144,44,0.3928813559322034,0.29943502824858764,0.5866666666666667,0.0,0.09344632768361577,0.6696841294298922
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.42,303,96,152,49,0.3891379310344828,0.2873563218390805,0.5866666666666667,0.0,0.1017816091954023,0.6633032915360502
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.43,296,89,159,56,0.38143274853801173,0.2748538011695907,0.5866666666666667,0.0,0.10657894736842105,0.6501694577352473
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.44,287,84,164,65,0.3683333333333333,0.2619047619047619,0.5866666666666667,0.0,0.10642857142857137,0.6278409090909091
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.45,282,83,165,70,0.3568181818181818,0.24848484848484853,0.5866666666666667,0.0,0.10833333333333328,0.6082128099173554
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.46,276,75,173,76,0.35351851851851857,0.2345679012345679,0.5866666666666667,0.0,0.11895061728395068,0.6025883838383839
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.47,268,72,176,84,0.34025157232704406,0.22012578616352207,0.5866666666666667,0.0,0.12012578616352199,0.5799742710120069
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.48,264,69,179,88,0.33384615384615385,0.20512820512820518,0.5866666666666667,0.0,0.12871794871794867,0.5690559440559441
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.49,256,62,186,96,0.3273856209150327,0.18954248366013077,0.5866666666666667,0.0,0.13784313725490194,0.5580436720142603
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.5,250,53,195,102,0.32833333333333337,0.17333333333333334,0.5866666666666667,0.0,0.15500000000000003,0.5596590909090909
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.51,247,51,197,105,0.32319727891156463,0.1564625850340136,0.5866666666666667,0.0,0.16673469387755102,0.550904452690167
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.52,242,48,200,110,0.31666666666666665,0.13888888888888884,0.5866666666666667,0.0,0.1777777777777778,0.5397727272727273
