arch,mask_variant,split,bin,bin_lo,bin_hi,n,n_events,mean_pred,obs_freq,obs_lo_wilson,obs_hi_wilson
efficientnet_b0,gt,train,1,0.0021579990000000003,0.05911080000000001,60,8,0.026975266666666664,0.13333333333333333,0.0691410948058697,0.24165159676499615
efficientnet_b0,gt,train,2,0.05911080000000001,0.151154,60,14,0.09803436666666666,0.23333333333333334,0.1443956173664283,0.35436270377601964
efficientnet_b0,gt,train,3,0.151154,0.27256400000000003,60,19,0.20545119999999997,0.31666666666666665,0.2130586755236652,0.44233767026176773
efficientnet_b0,gt,train,4,0.27256400000000003,0.43613060000000003,60,32,0.34918686666666665,0.5333333333333333,0.4089342702715789,0.6537209395856151
efficientnet_b0,gt,train,5,0.43613060000000003,0.623826,60,31,0.5245910666666667,0.5166666666666667,0.39307810032592494,0.6382495046026722
efficientnet_b0,gt,train,6,0.623826,0.8261780000000002,60,37,0.7323019666666667,0.6166666666666667,0.49017595824099924,0.7291172762591798
efficientnet_b0,gt,train,7,0.8261780000000002,0.9612006,60,45,0.9165374333333334,0.75,0.6276792992295218,0.8422347746994333
efficientnet_b0,gt,train,8,0.9612006,0.9960624,60,52,0.9838088999999999,0.8666666666666667,0.7583484032350039,0.9308589051941303
efficientnet_b0,gt,train,9,0.9960624,0.9998161,60,55,0.9985864999999999,0.9166666666666666,0.8193105798166558,0.9638795433982692
efficientnet_b0,gt,train,10,0.9998161,1.000000001,60,59,0.9999583666666666,0.9833333333333333,0.9114487027240993,0.9970518402052136
efficientnet_b0,gt,internal_val,1,0.0031409990000000002,0.0663326,26,1,0.03463265384615384,0.038461538461538464,0.006821984993543487,0.18892778903034757
efficientnet_b0,gt,internal_val,2,0.0663326,0.14028559999999998,26,2,0.10421961538461538,0.07692307692307693,0.0213550884722762,0.2414155377162906
efficientnet_b0,gt,internal_val,3,0.14028559999999998,0.24273120000000006,25,4,0.19203495999999998,0.16,0.06403451456676443,0.3465362160717885
efficientnet_b0,gt,internal_val,4,0.24273120000000006,0.46818480000000007,26,9,0.34641142307692313,0.34615384615384615,0.1941223032294052,0.5377942881118918
efficientnet_b0,gt,internal_val,5,0.46818480000000007,0.726325,26,17,0.5859725769230769,0.6538461538461539,0.46220571188810816,0.8058776967705947
efficientnet_b0,gt,internal_val,6,0.726325,0.919535,25,21,0.83976912,0.84,0.6534637839282114,0.9359654854332355
efficientnet_b0,gt,internal_val,7,0.919535,0.9735386,26,25,0.9507469999999999,0.9615384615384616,0.8110722109696524,0.9931780150064564
efficientnet_b0,gt,internal_val,8,0.9735386,0.9959442000000001,25,24,0.98735028,0.96,0.8045593626380625,0.9929037664980127
efficientnet_b0,gt,internal_val,9,0.9959442000000001,0.9996654,26,26,0.9981466923076923,1.0,0.8712710781407846,1.0
efficientnet_b0,gt,internal_val,10,0.9996654,0.9999990009999999,26,26,0.9999138461538462,1.0,0.8712710781407846,1.0
efficientnet_b0,gt,external_test1,1,0.008080999,0.07575510000000002,11,1,0.029223909090909092,0.09090909090909091,0.016232172885884855,0.37735843645159567
efficientnet_b0,gt,external_test1,2,0.07575510000000002,0.17573280000000008,11,1,0.124761,0.09090909090909091,0.016232172885884855,0.37735843645159567
