arch,mask_variant,split,n_total,n_malignant,n_benign,prevalence,threshold_probability_pt,tp,fp,tn,fn,net_benefit_model,net_benefit_treat_all_correct,net_benefit_treat_all_WRONG_flat_at_prevalence,net_benefit_treat_none,delta_nb_model_minus_treat_all,standardised_net_benefit_model
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.01,352,240,8,0,0.5826262626262626,0.5824915824915825,0.5866666666666667,0.0,0.00013468013468009854,0.9931129476584022
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.02,349,225,23,3,0.5740136054421768,0.5782312925170068,0.5866666666666667,0.0,-0.0042176870748299455,0.9784322820037105
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.03,348,216,32,4,0.5688659793814432,0.5738831615120275,0.5866666666666667,0.0,-0.005017182130584219,0.9696579194001873
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.04,347,211,37,5,0.5636805555555556,0.5694444444444444,0.5866666666666667,0.0,-0.005763888888888791,0.9608191287878789
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.05,346,202,46,6,0.5589473684210526,0.5649122807017544,0.5866666666666667,0.0,-0.0059649122807017285,0.9527511961722488
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.06,343,196,52,9,0.5508156028368795,0.5602836879432624,0.5866666666666667,0.0,-0.009468085106382973,0.9388902321083172
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.07,341,187,61,11,0.5448745519713262,0.5555555555555556,0.5866666666666667,0.0,-0.01068100358422941,0.928763440860215
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.08,338,179,69,14,0.5373913043478261,0.5507246376811594,0.5866666666666667,0.0,-0.013333333333333308,0.91600790513834
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.09,337,175,73,15,0.5328205128205128,0.5457875457875458,0.5866666666666667,0.0,-0.012967032967033054,0.9082167832167831
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.1,336,169,79,16,0.5287037037037038,0.5407407407407407,0.5866666666666667,0.0,-0.012037037037036957,0.9011994949494951
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.11,334,165,83,18,0.5226779026217229,0.5355805243445693,0.5866666666666667,0.0,-0.012902621722846397,0.8909282431052095
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.12,334,161,87,18,0.5200757575757575,0.5303030303030303,0.5866666666666667,0.0,-0.010227272727272751,0.8864927685950412
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.13,333,158,90,19,0.5156513409961686,0.524904214559387,0.5866666666666667,0.0,-0.009252873563218356,0.8789511494252874
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.14,332,156,92,20,0.5110077519379845,0.5193798449612403,0.5866666666666667,0.0,-0.008372093023255811,0.8710359408033828
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.15,331,150,98,21,0.5075490196078432,0.5137254901960784,0.5866666666666667,0.0,-0.006176470588235228,0.8651403743315508
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.16,329,144,104,23,0.5026190476190476,0.5079365079365079,0.5866666666666667,0.0,-0.005317460317460276,0.856737012987013
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.17,326,142,106,26,0.494859437751004,0.5020080321285141,0.5866666666666667,0.0,-0.007148594377510087,0.8435104052573932
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.18,325,139,109,27,0.4908130081300813,0.49593495934959353,0.5866666666666667,0.0,-0.005121951219512255,0.8366130820399112
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.19,324,134,114,28,0.48761316872427984,0.4897119341563786,0.5866666666666667,0.0,-0.002098765432098748,0.831158810325477
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.2,324,129,119,28,0.48625,0.48333333333333334,0.5866666666666667,0.0,0.0029166666666666785,0.8288352272727273
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.21,323,124,124,29,0.48339662447257387,0.4767932489451477,0.5866666666666667,0.0,0.006603375527426181,0.8239715189873418
