# U-Net baseline, validation on internal_val (n=257).
# Supersedes the published run, which used --validation 0 and
# therefore computed validation metrics on the training set.
epoch	lr	train_loss	train_dice	train_mIoU	train_precision	train_recall	train_fpr	val_dice	val_mIoU	val_precision	val_recall	val_fpr
1	0.00050000	0.98810	0.3368	0.2142	0.2622	0.6566	0.0771	0.3876	0.2521	0.3087	0.6733	0.0734
2	0.00050000	1.11844						0.3774	0.2519	0.6242	0.3112	0.0076
3	0.00050000	1.09519						0.0956	0.0512	0.0512	1.0000	0.9729
4	0.00050000	1.25158						0.0873	0.0466	0.0469	0.8620	0.9586
5	0.00050000	3.91019						0.0959	0.0513	0.0513	1.0000	0.9696
6	0.00050000	48.00863						0.0000	0.0000	0.0000	0.0000	0.0000
7	0.00005000	176.82090						0.0000	0.0000	0.0000	0.0000	0.0000
8	0.00005000	17.04599						0.3024	0.1885	0.5162	0.2451	0.0100
9	0.00005000	6.22310						0.4449	0.3000	0.4828	0.4953	0.0246
10	0.00005000	3.87133	0.3429	0.2223	0.2341	0.8983	0.1392	0.3664	0.2372	0.2483	0.8994	0.1431
11	0.00005000	2.87973						0.2185	0.1366	0.6851	0.1473	0.0025
12	0.00005000	2.59162						0.3683	0.2387	0.2446	0.9577	0.1568
13	0.00000500	4.14155						0.0665	0.0403	0.5489	0.0405	0.0003
14	0.00000500	2.61202						0.5753	0.4284	0.5892	0.6570	0.0230
15	0.00000500	2.17305						0.1689	0.1061	0.7426	0.1080	0.0007
16	0.00000500	1.71390						0.4621	0.3306	0.7912	0.3757	0.0043
17	0.00000500	1.09199						0.3792	0.2639	0.7790	0.2905	0.0034
18	0.00000500	1.19706						0.3644	0.2375	0.2426	0.9643	0.1650
19	0.00000100	1.30986						0.2976	0.1996	0.8121	0.2079	0.0012
20	0.00000100	0.98502	0.3737	0.2610	0.7706	0.2892	0.0025	0.3441	0.2380	0.8260	0.2515	0.0016
21	0.00000100	0.79203						0.6141	0.4646	0.5979	0.7278	0.0251
22	0.00000100	0.77235						0.3544	0.2458	0.8164	0.2609	0.0018
23	0.00000100	0.77835						0.5551	0.4133	0.7343	0.5079	0.0086
24	0.00000100	0.72921						0.3565	0.2484	0.8183	0.2636	0.0018
25	0.00000100	0.75741						0.3674	0.2558	0.8329	0.2699	0.0017
26	0.00000100	0.78812						0.4052	0.2875	0.8176	0.3105	0.0025
27	0.00000100	0.76434						0.5669	0.4262	0.7159	0.5418	0.0105
28	0.00000100	0.80023						0.2348	0.1554	0.8016	0.1590	0.0008
