# U-Net baseline, validation on internal_val (n=257).
# Supersedes the published run, which used --validation 0 and
# therefore computed validation metrics on the training set.
epoch	lr	train_dice	train_mIoU	train_precision	train_recall	train_fpr	val_dice	val_mIoU	val_precision	val_recall	val_fpr
1	0.000500	0.3032	0.1916	0.2152	0.7454	0.1275	0.3339	0.2124	0.2337	0.7750	0.1347
2	0.000500						0.3793	0.2565	0.6518	0.3172	0.0073
3	0.000500						0.5569	0.4106	0.6703	0.5525	0.0129
4	0.000500						0.4611	0.3220	0.7343	0.3878	0.0060
5	0.000500						0.4605	0.3121	0.3938	0.6906	0.0564
6	0.000500						0.3895	0.2542	0.2689	0.9121	0.1294
7	0.000500						0.2403	0.1442	0.3458	0.3175	0.0442
8	0.000500						0.0941	0.0503	0.0503	1.0000	0.9905
9	0.000050						0.0056	0.0032	0.1720	0.0032	0.0000
10	0.000050	0.0495	0.0287	0.5012	0.0290	0.0001	0.0353	0.0207	0.4612	0.0208	0.0001
11	0.000050						0.5478	0.4001	0.6382	0.5570	0.0148
12	0.000050						0.5722	0.4251	0.6144	0.6230	0.0191
13	0.000050						0.0280	0.0152	0.5856	0.0152	0.0000
14	0.000050						0.0835	0.0503	0.6575	0.0507	0.0003
15	0.000050						0.5496	0.3952	0.5999	0.6090	0.0207
16	0.000050						0.0281	0.0158	0.4774	0.0158	0.0000
17	0.000050						0.0482	0.0278	0.6411	0.0279	0.0001
18	0.000005						0.1588	0.0977	0.7522	0.0985	0.0004
19	0.000005						0.2281	0.1491	0.7858	0.1522	0.0005
20	0.000005	0.1943	0.1254	0.7209	0.1296	0.0006	0.1638	0.1038	0.7530	0.1050	0.0004
21	0.000005						0.3708	0.2557	0.8333	0.2695	0.0019
22	0.000005						0.3235	0.2068	0.2086	0.9933	0.2143
23	0.000005						0.3653	0.2523	0.8561	0.2635	0.0016
24	0.000001						0.1739	0.1104	0.7972	0.1114	0.0003
25	0.000001						0.4729	0.3445	0.8508	0.3712	0.0023
26	0.000001						0.5437	0.4081	0.8072	0.4641	0.0047
27	0.000001						0.5894	0.4497	0.7772	0.5339	0.0070
28	0.000001						0.6298	0.4886	0.7199	0.6294	0.0118
29	0.000001						0.6514	0.5060	0.6644	0.7377	0.0183
30	0.000001	0.5816	0.4437	0.6771	0.6048	0.0120	0.6194	0.4794	0.7687	0.5928	0.0084
31	0.000001						0.5946	0.4554	0.7725	0.5451	0.0076
32	0.000001						0.5738	0.4359	0.8091	0.5003	0.0051
33	0.000001						0.4396	0.3162	0.8437	0.3390	0.0023
34	0.000001						0.3703	0.2614	0.8587	0.2737	0.0013
35	0.000000						0.5708	0.4336	0.8168	0.4959	0.0049
36	0.000000						0.6440	0.5031	0.7433	0.6407	0.0106
37	0.000000						0.5935	0.4543	0.8006	0.5333	0.0061
38	0.000000						0.6006	0.4614	0.7929	0.5475	0.0065
39	0.000000						0.5034	0.3704	0.8270	0.4089	0.0037
