# U-Net baseline, validation on internal_val (n=257).
# Supersedes the published run, which used --validation 0 and
# therefore computed validation metrics on the training set.
epoch	lr	train_dice	train_mIoU	train_precision	train_recall	train_fpr	val_dice	val_mIoU	val_precision	val_recall	val_fpr
1	0.000500	0.0928	0.0506	0.3943	0.0579	0.0030	0.0943	0.0513	0.4707	0.0551	0.0021
2	0.000500						0.2453	0.1571	0.7125	0.1663	0.0019
3	0.000500						0.3522	0.2361	0.4890	0.3232	0.0133
4	0.000500						0.0743	0.0446	0.5335	0.0448	0.0003
5	0.000500						0.4717	0.3262	0.5502	0.5221	0.0223
6	0.000500						0.5094	0.3613	0.5016	0.6494	0.0302
7	0.000500						0.2474	0.1479	0.1744	0.6762	0.1738
8	0.000500						0.1687	0.1019	0.6449	0.1074	0.0014
9	0.000500						0.0000	0.0000	0.0000	0.0000	0.0000
10	0.000500	0.1673	0.1015	0.5846	0.1122	0.0018	0.1219	0.0710	0.6074	0.0746	0.0012
11	0.000500						0.0316	0.0179	0.4335	0.0180	0.0001
12	0.000500						0.0000	0.0000	0.0000	0.0000	0.0000
13	0.000500						0.0000	0.0000	0.0000	0.0000	0.0000
14	0.000500						0.0000	0.0000	0.0000	0.0000	0.0000
15	0.000500						0.0429	0.0235	0.1824	0.0269	0.0053
16	0.000500						0.1390	0.0768	0.0769	0.9997	0.6367
17	0.000500						0.2852	0.1768	0.1791	0.9878	0.2549
18	0.000500						0.2507	0.1515	0.1518	0.9988	0.3051
19	0.000500						0.0000	0.0000	0.0000	0.0000	0.0000
20	0.000500	0.0864	0.0462	0.0462	1.0000	0.9746	0.0953	0.0510	0.0510	1.0000	0.9767
21	0.000500						0.0428	0.0248	0.3188	0.0257	0.0005
22	0.000500						0.0723	0.0407	0.4754	0.0413	0.0004
23	0.000500						0.1357	0.0748	0.0749	0.9980	0.6519
24	0.000500						0.0000	0.0000	0.0000	0.0000	0.0000
25	0.000500						0.0000	0.0000	0.0000	0.0000	0.0000
26	0.000500						0.3078	0.1949	0.2245	0.6625	0.1269
27	0.000050						0.4421	0.3008	0.4061	0.6797	0.0556
28	0.000050						0.2626	0.1603	0.1612	0.9954	0.2896
29	0.000050						0.4743	0.3393	0.6401	0.4586	0.0119
30	0.000050	0.3279	0.2123	0.2227	0.9415	0.1638	0.3471	0.2250	0.2346	0.9480	0.1790
31	0.000050						0.3444	0.2280	0.7495	0.2496	0.0023
32	0.000050						0.3327	0.2213	0.7895	0.2386	0.0023
33	0.000050						0.0122	0.0068	0.2045	0.0068	0.0000
34	0.000050						0.4907	0.3496	0.3806	0.8767	0.0790
35	0.000050						0.0010	0.0005	0.0928	0.0005	0.0000
36	0.000050						0.6041	0.4554	0.6376	0.6746	0.0192
37	0.000050						0.3762	0.2488	0.2569	0.9699	0.1607
38	0.000050						0.1247	0.0682	0.0682	0.9997	0.7230
39	0.000050						0.0072	0.0039	0.1849	0.0039	0.0000
40	0.000050	0.3120	0.2182	0.5702	0.2801	0.0066	0.1711	0.1131	0.5743	0.1351	0.0040
41	0.000050						0.5064	0.3683	0.7543	0.4459	0.0074
42	0.000050						0.1409	0.0780	0.0780	0.9985	0.6209
43	0.000050						0.3416	0.2204	0.2228	0.9896	0.1946
44	0.000050						0.4429	0.3006	0.3177	0.9134	0.1028
